new_id,new_label,old_id,roi,R,G,B
1,Brain_Stem_Medulla,175,brain-stem,137,198,71
2,Brain_Stem_Pons,174,brain-stem,43,111,239
3,Brain_Stem_Superior_Cerebellar_Peduncle,178,brain-stem,229,66,126
4,Brain_Stem_Midbrain,173,brain-stem,57,66,191
5,Accumbens_Area_L,,left-accumbens-area,120,70,206
6,Accumbens_Area_R,,right-accumbens-area,120,70,206
7,Amygdala_Lateral_Nucleus_L,7001,left-amygdala,198,115,59
8,Amygdala_Lateral_Nucleus_R,7001,right-amygdala,198,115,59
9,Amygdala_Basal-Nucleus_L,7003,left-amygdala,221,202,79
10,Amygdala_Basal-Nucleus_R,7003,right-amygdala,221,202,79
11,Amygdala_Accessory-Basal-Nucleus_L,7008,left-amygdala,42,88,204
12,Amygdala_Accessory-Basal-Nucleus_R,7008,right-amygdala,42,88,204
13,Amygdala_Central-Nucleus_L,7005,left-amygdala,170,219,48
14,Amygdala_Central-Nucleus_R,7005,right-amygdala,170,219,48
15,Amygdala_Cortical-Nucleus_L,7007,left-amygdala,164,211,33
16,Amygdala_Cortical-Nucleus_R,7007,right-amygdala,164,211,33
17,Amygdala_Corticoamygdaloid-Transitio_L,7009,left-amygdala,239,62,216
18,Amygdala_Corticoamygdaloid-Transitio_R,7009,right-amygdala,239,62,216
19,Caudate_L,,left-caudate,74,68,191
20,Caudate_R,,right-caudate,74,68,191
21,Cerebellum_I_IV_L,1,left-cerebellum-cortex,71,224,155
22,Cerebellum_I_IV_R,2,right-cerebellum-cortex,71,224,155
23,Cerebellum_V_L,3,left-cerebellum-cortex,221,44,88
24,Cerebellum_V_R,4,right-cerebellum-cortex,221,44,88
25,Cerebellum_VI_L,5,left-cerebellum-cortex,48,232,103
26,Cerebellum_Vermis_VI,6,cerebellum-cortex,210,86,216
27,Cerebellum_VI_R,7,right-cerebellum-cortex,48,232,103
28,Cerebellum_CrusI_L,8,left-cerebellum-cortex,44,197,224
29,Cerebellum_CrusI_R,10,right-cerebellum-cortex,44,197,224
30,Cerebellum_CrusII_L,11,left-cerebellum-cortex,34,86,216
31,Cerebellum_Vermis_CrusII,12,cerebellum-cortex,206,47,50
32,Cerebellum_CrusII_R,13,right-cerebellum-cortex,34,86,216
33,Cerebellum_VIIb_L,14,left-cerebellum-cortex,200,96,224
34,Cerebellum_Vermis_VIIb,15,cerebellum-cortex,190,89,204
35,Cerebellum_VIIb_R,16,right-cerebellum-cortex,200,96,224
36,Cerebellum_VIIIa_L,17,left-cerebellum-cortex,57,97,229
37,Cerebellum_Vermis_VIIIa,18,cerebellum-cortex,60,60,201
38,Cerebellum_VIIIa_R,19,right-cerebellum-cortex,57,97,229
39,Cerebellum_VIIIb_L,20,left-cerebellum-cortex,224,78,219
40,Cerebellum_Vermis_VIIIb,21,cerebellum-cortex,186,65,216
41,Cerebellum_VIIIb_R,22,right-cerebellum-cortex,224,78,219
42,Cerebellum_IX_L,23,left-cerebellum-cortex,186,55,191
43,Cerebellum_Vermis_IX,24,cerebellum-cortex,71,239,164
44,Cerebellum_IX_R,25,right-cerebellum-cortex,186,55,191
45,Cerebellum_X_L,26,left-cerebellum-cortex,214,187,36
